"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SI","2025-09-24","96.6","1.97","5.91","Crochet, Garrett",664702,676979,"strikeout","called_strike",,,,,2,"Myles Straw called out on strikes.","R","R","L","TOR","BOS","S",2,,0,2,2025,"1.3","0.72",-0.03153348762212227,3.5863032863406046,,,,2,8,"Bot",,,,,,,-8.350814996099581,-140.47265312252426,-2.2672539429687735,19.05032558474245,32.096174523086454,-22.39072317283969,"3.5","1.64",,,,"97.4",2391,"6.8",776206,665966,663993,663853,608324,596115,680776,678882,677800,"53.69",,0,"0",1,0,0,,64,5,"Sinker",0,7,0,7,7,0,0,7,"Standard","Strategic",141,"-0.001","-0.16",,,,"0.16",,-7,-7,0.002,0.002,26,30,26,31,3,2,5,3,6,1,"1.73","1.3","-1.3","28.2",,,,,
"FF","2025-09-24","96.4","2.09","5.92","Crochet, Garrett",664702,676979,,"foul",,,,,12,"Foul","R","R","L","TOR","BOS","S",,,0,2,2025,"0.45","1.34",0.0037059206952492763,3.822313254946109,,,,2,8,"Bot",,,,,,,-6.633989851529395,-140.22626462760076,-3.10103765293778,7.383972515285317,30.509997621761144,-13.978057590547584,"3.44","1.6",202,"69.5",48,"97.6",2418,"6.9",776206,665966,663993,663853,608324,596115,680776,678882,677800,"53.62",,,,,,,,64,4,"4-Seam Fastball",0,7,0,7,7,0,0,7,"Standard","Strategic",140,"0","0","65.1","5.8",,"0","88.0",-7,-7,0.002,0.002,26,30,26,31,3,2,5,3,6,1,"1.11","0.45","-0.45","32.6",-4.91260793097116,16.51987474199529,25.49054367167269,33.14946288003148,20.762850521680612
"FF","2025-09-24","96.9","1.98","6.08","Crochet, Garrett",664702,676979,,"foul",,,,,4,"Foul","R","R","L","TOR","BOS","S",,,0,2,2025,"0.36","1.44",-0.5401072533331319,2.5783342417510635,,,,2,8,"Bot",,,,,,,-7.655858193276223,-140.68951283425443,-7.138847791599182,6.6345561666873705,33.635071113198194,-11.580102205188734,"3.44","1.6",218,"70.3",35,"97.8",2455,"7.1",776206,665966,663993,663853,608324,596115,680776,678882,677800,"53.45",,,,,,,,64,3,"4-Seam Fastball",0,7,0,7,7,0,0,7,"Standard","Strategic",148,"0","0","67.3","6.1",,"0","88.0",-7,-7,0.002,0.002,26,30,26,31,3,2,5,3,6,1,"1.01","0.36","-0.36","37.5",-3.5118556446145894,6.454287658642332,44.40954760407534,25.957776728144466,21.31524229303076
"FF","2025-09-24","94.8","2.39","5.77","Crochet, Garrett",664702,676979,,"called_strike",,,,,9,"Called Strike","R","R","L","TOR","BOS","S",,,0,1,2025,"0.67","1.28",0.4655098795222333,2.174072265244128,,,,2,8,"Bot",,,,,,,-6.602279249755548,-137.77448638711326,-6.6324759940401306,10.031568347135078,32.76720519738843,-14.570756172471702,"3.39","1.63",,,,"95.7",2391,"7",776206,665966,663993,663853,608324,596115,680776,678882,677800,"53.47",,,,,,,,64,2,"4-Seam Fastball",0,7,0,7,7,0,0,7,"Standard","Standard",138,"0","-0.057",,,,"0.057",,-7,-7,0.002,0.002,26,30,26,31,3,2,5,3,6,1,"1.28","0.67","-0.67","29.5",,,,,
"SI","2025-09-24","95.7","2.35","5.83","Crochet, Garrett",664702,676979,,"foul",,,,,6,"Foul","R","R","L","TOR","BOS","S",,,0,0,2025,"1.15","0.69",0.5317930495103083,2.4371950765863355,,,,2,8,"Bot",,,,,,,-7.498912819810538,-139.13658747467983,-5.000224602228883,16.53620554536509,29.33438832697487,-22.229220289433208,"3.44","1.6",255,"83.5",32,"97.3",2387,"7.1",776206,665966,663993,663853,608324,596115,680776,678882,677800,"53.38",,,,,,,,64,1,"Sinker",0,7,0,7,7,0,0,7,"Standard","Standard",139,"0","-0.043","67.2","6.2",,"0.043","88.0",-7,-7,0.002,0.002,26,30,26,31,3,2,5,3,6,1,"1.79","1.15","-1.15","30.9",-12.59136255723256,26.62532829798577,35.61913800206332,40.03830753905946,12.024385886671622
"SI","2025-09-24","95.2","2.15","5.9","Crochet, Garrett",662139,676979,"field_out","hit_into_play",,,,,5,"Daulton Varsho grounds out sharply, second baseman Romy Gonzalez to first baseman Nathaniel Lowe.","R","L","L","TOR","BOS","X",4,"ground_ball",2,0,2025,"1.32","0.63",-0.11121479862919537,2.275140914202744,,,,1,8,"Bot",144.62,152.25,,,,,-8.995154097794948,-138.37276644261505,-5.329032360869239,18.905781980914533,30.886963228376164,-23.070533783241306,"3.39","1.56",10,"101.5",-13,"96.4",2389,"7",776206,665966,663993,663853,608324,596115,680776,678882,677800,"53.48",0.263,0.25,"0",1,0,0,2,63,3,"Sinker",0,7,0,7,7,0,0,7,"Infield shade","Standard",145,"-0.002","-0.364","67.5","7.7",0.299,"0.364","101.5",-7,-7,0.004,0.004,26,28,26,29,3,2,5,1,6,1,"1.89","1.32","1.32","32.6",8.008772342261008,7.140926109780542,28.722156218029166,36.63961671168623,21.292469672059394
"SI","2025-09-24","94.4","2.22","5.89","Crochet, Garrett",662139,676979,,"ball",,,,,12,"Ball","R","L","L","TOR","BOS","B",,,1,0,2025,"1.35","0.6",1.498230356696727,3.2270356268650024,,,,1,8,"Bot",,,,,,,-4.937404697074395,-137.4745518309147,-2.591554566631637,18.23807386924404,30.39327744256012,-24.22615010688636,"3.29","1.39",,,,"95.3",2120,"6.7",776206,665966,663993,663853,608324,596115,680776,678882,677800,"53.77",,,,,,,,63,2,"Sinker",0,7,0,7,7,0,0,7,"Infield shade","Standard",140,"0.001","0.071",,,,"-0.071",,-7,-7,0.003,0.003,26,28,26,29,3,2,5,1,6,1,"1.96","1.35","1.35","30.0",,,,,
"SI","2025-09-24","96.3","2.03","5.83","Crochet, Garrett",662139,676979,,"ball",,,,,3,"Ball","R","L","L","TOR","BOS","B",,,0,0,2025,"1.39","0.56",0.8192657610372027,3.4827007386552786,,,,1,8,"Bot",,,,,,,-6.43106281509258,-140.03264318172592,-1.9104064494229553,19.774930794576303,32.51449052980704,-24.636259202276204,"3.46","1.41",,,,"97",2236,"6.8",776206,665966,663993,663853,608324,596115,680776,678882,677800,"53.7",,,,,,,,63,1,"Sinker",0,7,0,7,7,0,0,7,"Infield shade","Standard",138,"0","0.039",,,,"-0.039",,-7,-7,0.003,0.003,26,28,26,29,3,2,5,1,6,1,"1.91","1.39","1.39","29.2",,,,,
"FC","2025-09-24","89.8","2.12","6.01","Crochet, Garrett",676914,676979,"field_out","hit_into_play",,,,,1,"Davis Schneider pops out to catcher Carlos Narváez.","R","R","L","TOR","BOS","X",2,"popup",2,2,2025,"-0.16","0.26",-0.48822346553725426,2.8864340642850563,,,,0,8,"Bot",132.51,193.4,,,,,-6.1887229775680055,-130.68179284480118,-2.3225448258537456,-0.5992511782560431,26.757111434328365,-28.928613853468725,"3.13","1.51",13,"75.8",82,"90.9",2446,"6.9",776206,665966,663993,663853,608324,596115,680776,678882,677800,"53.58",0.01,0.012,"0",1,0,0,3,62,8,"Cutter",0,7,0,7,7,0,0,7,"Standard","Standard",222,"-0.002","-0.232","73.4","6.8",0.013,"0.232","88.0",-7,-7,0.005,0.005,26,26,26,26,3,2,5,1,6,3,"2.56","-0.16","0.16","35.4",22.976857439549836,-3.9091556257016165,30.855400057781377,28.047578598954903,32.91277609824449
"SI","2025-09-24","96.1","2.2","5.93","Crochet, Garrett",676914,676979,,"foul",,,,,2,"Foul","R","R","L","TOR","BOS","S",,,2,2,2025,"1.43","0.61",0.25551614631497177,2.7299008946496155,,,,0,8,"Bot",,,,,,,-8.460537312343517,-139.69068758836468,-4.2767678742101705,20.59085408867755,31.94369337671188,-23.438651824858997,"3.13","1.51",,,,"96.8",2382,"6.8",776206,665966,663993,663853,608324,596115,680776,678882,677800,"53.7",,,,,,,,62,7,"Sinker",0,7,0,7,7,0,0,7,"Standard","Standard",138,"0","0","72.5","6.9",,"0",,-7,-7,0.005,0.005,26,26,26,26,3,2,5,1,6,3,"1.87","1.43","-1.43","28.2",15.513958362288264,-2.9580715246557356,31.60555682440173,37.352295350179816,32.22048550667134
